dataset_type	path	filename	species_name
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_23_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_33_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_0_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_8_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_9_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_41_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_49_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_47_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_42_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_6_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_46_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_15_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_38_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_18_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_24_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_14_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_11_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_5_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_39_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_37_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_4_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_21_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_31_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Acer platanoides	ACPL_29_test_cloud.txt	Acer platanoides
train	podatki - DOWNSAMPLED/Boni Vicari/Betula pendula	BEPE2_45_test_cloud.txt	Betula pendula
train	podatki - DOWNSAMPLED/Boni Vicari/Betula pendula	BEPE2_47_test_cloud.txt	Betula pendula
train	podatki - DOWNSAMPLED/Boni Vicari/Betula pendula	BEPE2_32_test_cloud.txt	Betula pendula
train	podatki - DOWNSAMPLED/Boni Vicari/Betula pendula	BEPE2_35_test_cloud.txt	Betula pendula
train	podatki - DOWNSAMPLED/Boni Vicari/Betula pendula	BEPE2_46_test_cloud.txt	Betula pendula
train	podatki - DOWNSAMPLED/Boni Vicari/Betula pendula	BEPE2_39_test_cloud.txt	Betula pendula
train	podatki - DOWNSAMPLED/Boni Vicari/Betula pendula	BEPE2_36_test_cloud.txt	Betula pendula
train	podatki - DOWNSAMPLED/Boni Vicari/Betula pendula	BEPE2_2_test_cloud.txt	Betula pendula
train	podatki - DOWNSAMPLED/Boni Vicari/Betula pendula	BEPE2_12_test_cloud.txt	Betula pendula
train	podatki - DOWNSAMPLED/Boni Vicari/Betula pendula	BEPE2_26_test_cloud.txt	Betula pendula
train	podatki - DOWNSAMPLED/Boni Vicari/Betula pendula	BEPE2_19_test_cloud.txt	Betula pendula
train	podatki - DOWNSAMPLED/Boni Vicari/Betula pendula	BEPE2_41_test_cloud.txt	Betula pendula
train	podatki - DOWNSAMPLED/Boni Vicari/Betula pendula	BEPE2_21_test_cloud.txt	Betula pendula
