latin_name	english_name	slovenian_name	total_count
Acer platanoides	Norway maple	Ostrolistni javor	50
Betula pendula	Silver birch	Navadna breza	50
Tilia cordata	Small-leaved lime	Lipovec	50
Pinus nigra	Black pine	Črni bor	581
Pinus pinaster	Maritime pine	Obmorski bor	140
Pinus sylvestris	European red pine	Rdeči bor	277
Quercus faginea	Portuguese oak	Portugalski hrast	1116
Quercus ilex	Evergreen oak	Črnika	364
Fagus sylvatica	European beech	Navadna bukev	164
Picea abies	Norway spruce	Navadna smreka	158
Pseudotsuga menziesii	Douglas fir	Duglazija	183
Quercus rubra L	Northern red oak	Navadni rdeči hrast	100
